date_key,date,day,month,day_num_of_week,week_num_of_year,weekend,holiday,season
20201016,10/16/2020,16,10,5,42,y,n,Autumn
20201017,10/17/2020,17,10,6,42,y,n,Autumn
20201018,10/18/2020,18,10,7,42,y,n,Autumn
20201019,10/19/2020,19,10,1,43,n,n,Autumn
20201020,10/20/2020,20,10,2,43,n,n,Autumn
20201021,10/21/2020,21,10,3,43,n,n,Autumn
20201022,10/22/2020,22,10,4,43,n,n,Autumn
20201023,10/23/2020,23,10,5,43,y,n,Autumn
20201024,10/24/2020,24,10,6,43,y,n,Autumn
20201025,10/25/2020,25,10,7,43,y,n,Autumn
20201026,10/26/2020,26,10,1,44,n,n,Autumn
20201027,10/27/2020,27,10,2,44,n,n,Autumn
20201028,10/28/2020,28,10,3,44,n,n,Autumn
20201029,10/29/2020,29,10,4,44,n,n,Autumn
20201030,10/30/2020,30,10,5,44,y,n,Autumn
20201031,10/31/2020,31,10,6,44,y,y,Autumn
20201101,11/01/2020,1,11,7,44,y,n,Autumn
20201102,11/02/2020,2,11,1,45,n,n,Autumn
20201103,11/03/2020,3,11,2,45,n,n,Autumn
20201104,11/04/2020,4,11,3,45,n,n,Autumn
20201105,11/05/2020,5,11,4,45,n,n,Autumn
20201106,11/06/2020,6,11,5,45,y,n,Autumn
20201107,11/07/2020,7,11,6,45,y,n,Autumn
20201108,11/08/2020,8,11,7,45,y,n,Autumn
20201109,11/09/2020,9,11,1,46,n,n,Autumn
20201110,11/10/2020,10,11,2,46,n,n,Autumn
20201111,11/11/2020,11,11,3,46,n,n,Autumn
20201112,11/12/2020,12,11,4,46,n,n,Autumn
20201113,11/13/2020,13,11,5,46,y,n,Autumn
20201114,11/14/2020,14,11,6,46,y,n,Autumn
20201115,11/15/2020,15,11,7,46,y,n,Autumn
20201116,11/16/2020,16,11,1,47,n,n,Autumn
20201117,11/17/2020,17,11,2,47,n,n,Autumn
20201118,11/18/2020,18,11,3,47,n,n,Autumn
20201119,11/19/2020,19,11,4,47,n,n,Autumn
20201120,11/20/2020,20,11,5,47,y,n,Autumn
20201121,11/21/2020,21,11,6,47,y,n,Autumn
