mobility_key,metro_area,subregion,province,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
1,National Capital Region,Ottawa Division,Ontario,13,6,68,3,1,-2
1,National Capital Region,Ottawa Division,Ontario,30,26,128,3,4,-4
1,National Capital Region,Ottawa Division,Ontario,-30,-53,52,-40,-62,14
1,National Capital Region,Ottawa Division,Ontario,-5,9,-8,-6,-2,1
1,National Capital Region,Ottawa Division,Ontario,0,6,-8,-8,1,0
1,National Capital Region,Ottawa Division,Ontario,6,4,0,-8,1,0
1,National Capital Region,Ottawa Division,Ontario,-1,0,9,-9,-8,2
1,National Capital Region,Ottawa Division,Ontario,17,11,54,5,4,-2
1,National Capital Region,Ottawa Division,Ontario,18,17,38,4,6,-2
1,National Capital Region,Ottawa Division,Ontario,4,5,13,-6,2,0
1,National Capital Region,Ottawa Division,Ontario,1,10,2,-6,3,-1
1,National Capital Region,Ottawa Division,Ontario,-5,6,-14,-2,1,1
1,National Capital Region,Ottawa Division,Ontario,-25,-25,-29,-22,-31,13
1,National Capital Region,Ottawa Division,Ontario,-2,3,-12,2,-3,2
1,National Capital Region,Ottawa Division,Ontario,13,13,-8,4,7,-2
1,National Capital Region,Ottawa Division,Ontario,17,22,17,3,9,-2
1,National Capital Region,Ottawa Division,Ontario,2,6,-7,-5,4,0
1,National Capital Region,Ottawa Division,Ontario,0,5,-10,-2,4,0
1,National Capital Region,Ottawa Division,Ontario,3,9,-9,-2,5,0
1,National Capital Region,Ottawa Division,Ontario,9,8,-5,-4,-1,0
1,National Capital Region,Ottawa Division,Ontario,-3,-2,-10,-1,5,1
1,National Capital Region,Ottawa Division,Ontario,18,12,16,5,6,-3
1,National Capital Region,Ottawa Division,Ontario,16,20,30,0,6,-2
1,National Capital Region,Ottawa Division,Ontario,4,8,11,-8,3,0
1,National Capital Region,Ottawa Division,Ontario,-2,4,-9,-8,3,1
1,National Capital Region,Ottawa Division,Ontario,2,12,-7,-5,3,0
1,National Capital Region,Ottawa Division,Ontario,8,35,-3,-8,0,1
1,National Capital Region,Ottawa Division,Ontario,-8,41,-22,-18,-6,5
1,National Capital Region,Ottawa Division,Ontario,-9,24,3,-17,-2,3
1,National Capital Region,Ottawa Division,Ontario,-13,14,10,-25,-6,3
1,National Capital Region,Ottawa Division,Ontario,-25,17,-23,-52,-48,17
1,National Capital Region,Ottawa Division,Ontario,-43,-5,-35,-59,-59,22
1,National Capital Region,Ottawa Division,Ontario,-46,-9,-23,-61,-61,23
1,National Capital Region,Ottawa Division,Ontario,-47,-11,-20,-64,-64,24
1,National Capital Region,Ottawa Division,Ontario,-54,-19,-35,-64,-64,26
1,National Capital Region,Ottawa Division,Ontario,-55,-24,-9,-54,-39,13
1,National Capital Region,Ottawa Division,Ontario,-53,-24,21,-58,-39,10
1,National Capital Region,Ottawa Division,Ontario,-55,-27,-53,-74,-68,26
1,National Capital Region,Ottawa Division,Ontario,-56,-23,-30,-73,-70,27
